artist,region,base,era,style,start_with,draft_lane,note
Golomb,Chicago and the Midwest,"Columbus, OH",New,Slacker,The Beat Goes On (2025),C7,
Spencer Radcliffe,Chicago and the Midwest,Ohio (formerly Chicago),New,Crossover,Ohio Vision (2025),C1,
Wishy,Chicago and the Midwest,Indianapolis,New,Power pop,Triple Seven (2024),C7,
Good Flying Birds,Chicago and the Midwest,Indianapolis,New,Jangle,Talulah's Tape (2025),C7,
Bonny Doon,Chicago and the Midwest,Detroit,New,Slacker,Let There Be Music (2018),C7,
Neu Blume,Chicago and the Midwest,Detroit (via Phoenix),New,Jangle,Let It Win (2025),C7,
Townes Van Zandt,Texas and Oklahoma,Houston,Classic,Alt-country,Townes Van Zandt (1969),V24,
Okkervil River,Texas and Oklahoma,Austin,Classic,Crossover,Black Sheep Boy (2005),V4,
Will Johnson / Centro-matic,Texas and Oklahoma,Denton,Classic,Crossover,Diamond City (2025),V1,
Hovvdy,Texas and Oklahoma,Austin,New,Slacker,"True Love (2021), Hovvdy (2024)",C7,
Jess Williamson,Texas and Oklahoma,Austin / Marfa,New,Cosmic country,Time Ain't Accidental (2023),C6,
Plains,Texas and Oklahoma,Austin / Kansas City,New,Alt-country,I Walked with You a Ways (2022),C3,
Lomelda,Texas and Oklahoma,Silsbee,New,Slowcore,Hannah (2022),C8,
Shallowater,Texas and Oklahoma,West Texas,New,Crossover,God's Gonna Give You a Million Dollars (2025),C4,
Jana Horn,Texas and Oklahoma,Austin (now Brooklyn),New,Indie folk,Jana Horn (2026),C5,
Ken Pomeroy,Texas and Oklahoma,"Tulsa, OK",New,Alt-country,Cruel Joke (2025),C3,
Dinosaur Jr.,The Northeast,"Amherst, MA",Classic,Slacker,You're Living All Over Me (1987),V16,
Sonic Youth,The Northeast,New York,Classic,Noise,Daydream Nation (1988),V16,
Codeine,The Northeast,New York,Classic,Slowcore,Frigid Stars (1990),V12,
Sebadoh,The Northeast,Western MA,Classic,Lo-fi,Bubble & Scrape (1993),V11,
Swirlies,The Northeast,Boston,Classic,Shoegaze,They Spent Their Wild Youthful Days in the Glittering World of the Salons (1996),X9,scene-not-sound → Context
Silver Jews,The Northeast,New York (later Nashville),Classic,Crossover,"Starlite Walker (1994), American Water (1998)",V2,
Will Stratton,The Northeast,Upstate New York,Classic,Indie folk,Points of Origin (2025),C5,
Pinegrove,The Northeast,"Montclair, NJ",New,Crossover,"Marigold (2020), 11:11 (2022)",C9,
Horse Jumper of Love,The Northeast,Boston,New,Slowcore,Natural Part (2022),C8,
Hotline TNT,The Northeast,New York,New,Slacker,Cartwheel (2023),C7,
Cut Worms,The Northeast,Brooklyn,New,Cosmic country,Transmitter (2026),C6,
Dougie Poole,The Northeast,Brooklyn,New,Alt-country,The Rainbow Wheel of Death (2021),C2,
Big Thief,The Northeast,Brooklyn / Catskills,New,Indie folk,"Dragon New Mountain Thought Unbelievable I Believe in You (2022), Double Infinity (2025)",C5,
Buck Meek,The Northeast,Brooklyn / Texas,New,Alt-country,The Mirror (2026),C3,
Liam Kazar,The Northeast,New York (via Chicago),New,Cosmic country,Pilot Light (2025),C6,
John Andrews & the Yawns,The Northeast,New York,New,Cosmic country,STREETSWEEPER (2026),C6,
Otto Benson,The Northeast,New York,New,Indie folk,Peanut (2026),C8,
Dead Gowns,The Northeast,Maine,New,Indie folk,"It's Summer, I Love You, and I'm Surrounded by Snow (2025)",C5,
Greg Freeman,"Burlington, Vermont",Burlington,New,Crossover,"I Looked Out (2022), Burnover (2025)",C1,
Florry,"Burlington, Vermont",Burlington / Philadelphia,New,Alt-country,"The Holey Bible (2023), Sounds Like… (2025)",C1,
Lily Seabird,"Burlington, Vermont",Burlington,New,Indie folk,"Alas (2024), Trash Mountain (2025)",C5,
Robber Robber,"Burlington, Vermont",Burlington,New,Punk,Two Wheels Move the Soul (2026),X10,scene-not-sound → Context
Liz Cooper,"Burlington, Vermont",Vermont (formerly Nashville),New,Crossover,New Day (2026),C7,
Lynyrd Skynyrd,The South,"Jacksonville, FL",Classic,Southern rock,(Pronounced 'Lĕh-'nérd 'Skin-'nérd) (1973),V28,
Gary Stewart,The South,Kentucky / Florida,Classic,Honky-tonk,Out of Hand (1975),V26,
R.E.M.,The South,"Athens, GA",Classic,Jangle,"Murmur (1983), Fables of the Reconstruction (1985)",V16,
Vic Chesnutt,The South,"Athens, GA",Classic,Indie folk,West of Rome (1991),V13,
Neutral Milk Hotel,The South,"Athens, GA / Ruston, LA",Classic,Lo-fi,In the Aeroplane Over the Sea (1998),V11,
"Palace / Bonnie ""Prince"" Billy",The South,"Louisville, KY",Classic,Crossover,"I See a Darkness (1999), The Purple Bird (2025)",V2,
Lucinda Williams,The South,Louisiana / Nashville,Classic,Alt-country,Car Wheels on a Gravel Road (1998),V13,
Lambchop,The South,Nashville,Classic,Slowcore,Nixon (2000),V4,
Drive-By Truckers,The South,"Athens, GA",Classic,Alt-country,"Southern Rock Opera (2001), Decoration Day (2003)",V3,
Ryan Davis & The Roadhouse Band,The South,"Louisville, KY",New,Crossover,New Threats From the Soul (2025),C2,
Grace Rogers,The South,"Louisville, KY",New,Alt-country,Mad Dogs (2025),C3,
Purple Mountains,The South,Nashville,New,Crossover,Purple Mountains (2019),C2,
Sean Thompson's Weird Ears,The South,Nashville,New,Cosmic country,"Head in the Sand (2025), Inner Principle (2026)",C6,
Shrunken Elvis,The South,Nashville,New,Cosmic country,Shrunken Elvis (2025),C6,
Echolalia,The South,Nashville,New,Cosmic country,Echolalia (2025),C6,
Spencer Cullum,The South,Nashville (via the UK),New,Cosmic country,Spencer Cullum's Coin Collection 3 (2026),C6,
Waxahatchee,The South,"Birmingham, AL",New,Alt-country,"Saint Cloud (2020), Tigers Blood (2024)",C3,
Cash Langdon,The South,"Birmingham, AL",New,Power pop,Dogs (2025),C7,
Arbor Labor Union,The South,Georgia,New,Cosmic country,Out to Pasture (2025),C6,
Oldstar,The South,"Panama City Beach, FL",New,Alt-country,Of the Highway (2025),C1,
Thomas Dollbaum,The South,New Orleans,New,Alt-country,Birds of Paradise (2026),C1,
Silver Synthetic,The South,New Orleans,New,Cosmic country,Rosalie (2025),C6,
Lawn,The South,New Orleans,New,Jangle,God Made the Highway (2025),C7,
The Convenience,The South,New Orleans,New,Slacker,Like Cartoon Vampires (2025),C7,
Twisted Teens,The South,New Orleans,New,Cowpunk,Florida Water Blues (2026),C1,
Gram Parsons / Flying Burrito Brothers,The West,Los Angeles (via Georgia),Classic,Cosmic country,"GP (1973), Grievous Angel (1974)",V21,
Meat Puppets,The West,Phoenix,Classic,Crossover,Meat Puppets II (1984),V16,
Minutemen,The West,"San Pedro, CA",Classic,Punk,Double Nickels on the Dime (1984),V16,
Red House Painters,The West,San Francisco,Classic,Slowcore,Down Colorful Hill (1992),V12,
Pavement,The West,"Stockton, CA",Classic,Slacker,"Crooked Rain, Crooked Rain (1994)",V10,
Beck,The West,Los Angeles,Classic,Slacker,"Mellow Gold (1994), One Foot in the Grave (1994)",V11,
Built to Spill,The West,"Boise, ID",Classic,Slacker,Perfect From Now On (1997),V10,
Duster,The West,"San Jose, CA",Classic,Slowcore,Stratosphere (1998),V12,
Giant Sand,The West,Tucson,Classic,Cosmic country,Chore of Enchantment (2000),V4,
Car Seat Headrest,The West,Seattle,Classic,Slacker,Teens of Denial (2016),C7,
Kevin Morby,The West,Kansas City (formerly Los Angeles),New,Cosmic country,"This Is a Photograph (2022), Little Wide Open (2026)",C6,
Hand Habits,The West,Los Angeles,New,Indie folk,"Fun House (2021), Blue Reminder (2025)",C5,
Sam Burton,The West,Los Angeles,New,Cosmic country,I Can Go With You (2023),C6,
Dutch Interior,The West,Los Angeles,New,Crossover,Moneyball (2025),C4,
Credit Electric,The West,Los Angeles,New,Cosmic country,Salvation (2025),C6,
Sunday Mourners,The West,Los Angeles,New,Jangle,A-Rhythm Absolute (2026),C7,
Mildred,The West,Oakland,New,Crossover,Fenceline (2026),C2,
Trinity Ace,The West,Bay Area,New,Indie folk,Learning to Be a Cowboy on the Horse That Broke My Arm (2026),C5,
Mae Powell,The West,Bay Area,New,Indie folk,Making Room for the Light (2025),C5,
Abbey Blackwell,The West,Seattle,New,Indie folk,Dream a Day (2026),C5,
Haley Heynderickx & Max García Conover,The West,"Portland, OR / New York",New,Indie folk,What of Our Nature (2025),C5,
Rose City Band,The West,Oregon,New,Cosmic country,Sol Y Sombra (2025),C6,
The Go-Betweens,Australia and New Zealand,Brisbane,Classic,Jangle,16 Lovers Lane (1988),V18,
The Clean,Australia and New Zealand,"Dunedin, NZ",Classic,Jangle,Boodle Boodle Boodle (1981),V18,
Courtney Barnett,Australia and New Zealand,Melbourne,Classic,Slacker,"Sometimes I Sit and Think, and Sometimes I Just Sit (2015)",C7,
Courtney Barnett (recent),Australia and New Zealand,Melbourne,New,Slacker,"Things Take Time, Take Time (2021), Creature of Habit (2026)",C7,
Rolling Blackouts Coastal Fever,Australia and New Zealand,Melbourne,New,Jangle,Endless Rooms (2022),C7,
The Goon Sax,Australia and New Zealand,Brisbane,New,Jangle,Mirror II (2021),C7,
Julia Jacklin,Australia and New Zealand,Melbourne,New,Crossover,Pre Pleasure (2022),C5,
Tiny Ruins,Australia and New Zealand,"Auckland, NZ",New,Indie folk,Ceremony (2023),C5,
Folk Bitch Trio,Australia and New Zealand,Melbourne,New,Indie folk,Now Would Be a Good Time (2025),C5,
Neil Young & Crazy Horse,"The UK, Ireland and Canada",Ontario (via California),Classic,Crossover,"Everybody Knows This Is Nowhere (1969), Zuma (1975), Tonight's the Night (1975)",V20,
My Bloody Valentine,"The UK, Ireland and Canada",Dublin / London,Classic,Shoegaze,Loveless (1991),X9,scene-not-sound → Context
Mac DeMarco,"The UK, Ireland and Canada",Edmonton / Montreal,Classic,Slacker,Salad Days (2014),C7,
Kiwi Jr.,"The UK, Ireland and Canada",Toronto,New,Slacker,Cooler Returns (2021),C7,
Nap Eyes,"The UK, Ireland and Canada",Halifax,New,Jangle,Snapshot of a Beginner (2020),C7,
Bella White,"The UK, Ireland and Canada",Calgary,New,Alt-country,Among Other Things (2022),C3,
Ora Cogan,"The UK, Ireland and Canada",British Columbia,New,Cosmic country,Hard Hearted Woman (2026),C6,
Charlotte Cornfield,"The UK, Ireland and Canada",Canada,New,Indie folk,Hurts Like Hell (2026),C5,
Brown Horse,"The UK, Ireland and Canada","Norwich, UK",New,Alt-country,"Reservoir (2024), All The Right Weaknesses (2025), Total Dive (2026)",C1,
The Bug Club,"The UK, Ireland and Canada",Wales,New,Slacker,Very Human Features (2025),C7,
Billie Marten,"The UK, Ireland and Canada",UK,New,Indie folk,Dog Eared (2025),C5,
CMAT,"The UK, Ireland and Canada",Ireland,New,Alt-country,EURO-COUNTRY (2025),X12,scene-not-sound → Context
Ovven,Unplaced (2026),,New,,Gnawing at the Cord,C1,
Daughn Gibson,Unplaced (2026),,New,,Lake Mary Not Mysterious,C2,
"midwest, post death",Unplaced (2026),,New,,Post Recovery,C9,
