# No Expectations leads triaged to lane X5 — 32 albums. Format: artist | album | year | label | n_posts | URLs | note
Grizzly Bear | Painted Ruins | 2017 |  | 1 | https://www.noexpectations.fyi/p/liam-kazar-astrachan-zook-h-pruz-belair-lip-bombs | Referenced in the reunion recap.
Grizzly Bear | Shields | 2013 |  | 1 | https://www.noexpectations.fyi/p/liam-kazar-astrachan-zook-h-pruz-belair-lip-bombs | Referenced in the reunion recap.
Grizzly Bear | Veckatimest | 2009 |  | 1 | https://www.noexpectations.fyi/p/liam-kazar-astrachan-zook-h-pruz-belair-lip-bombs | Formative album recalled in the reunion recap.
Grizzly Bear | Yellow House | 2007 |  | 1 | https://www.noexpectations.fyi/p/liam-kazar-astrachan-zook-h-pruz-belair-lip-bombs | Nostalgic reference in a Grizzly Bear reunion recap.
Linda Perhacs | Parallelograms |  |  | 1 | https://www.noexpectations.fyi/p/slow-pulp-emily-massey-interview-yard | Massey discovered 'Chimacum Rain' and the dental-assistant-turned-cult-folkie story behind the reissued LP.
Maia Friedman | Goodbye Long Winter Shadow | 2025 |  | 3 | https://www.noexpectations.fyi/p/friendship-dan-wriggins-caveman-wakes-up-interview ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Ornate orchestral folk with strings and woodwinds, 15 songs in 31 minutes with no waste.
Mutual Benefit | Growing at the Edges | 2023 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Listed among the 40 honorable mentions (positions 61–100) with no blurb.
My New Band Believe | My New Band Believe | 2026 |  | 2 | https://www.noexpectations.fyi/p/my-new-band-believe-spoils-national-photo-committee ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Maximalist, theatrical experimental rock built from acoustic instruments with folk, jazz and prog arrangements.
Natalie Prass | Natalie Prass |  | Spacebomb | 1 | https://www.noexpectations.fyi/p/algorithm-nation-2024 | Terry calls it one of his favorite debut albums of all time.
Paul Spring | Barnstorm | 2026 |  | 1 | https://www.noexpectations.fyi/p/wild-pink-squirrel-flower-paul-spring-brennan-wedl | Folk album reworking Handel and Bach through guitar and falsetto.
Racing Mount Pleasant | Racing Mount Pleasant | 2025 |  | 2 | https://www.noexpectations.fyi/p/meg-duffy-hand-habits-interview-blue-reminder ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Orchestral folk from Ann Arbor with gorgeous, swelling, unpredictable arrangements in the Arcade Fire / BSS lineage.
Sufjan Stevens | A Sun Came | 1999 |  | 1 | https://www.noexpectations.fyi/p/sufjan-stevens-albums-ranked-javelin-illinois | Experimental debut with detours into Drag City-style indie rock that Terry likens to Alex G.
Sufjan Stevens | Carrie & Lowell | 2015 |  | 1 | https://www.noexpectations.fyi/p/sufjan-stevens-albums-ranked-javelin-illinois | Sparse, drumless folk processing his mother's death.
Sufjan Stevens | Illinois | 2005 |  | 2 | https://www.noexpectations.fyi/p/sufjan-stevens-albums-ranked-javelin-illinois ; https://www.noexpectations.fyi/p/friko-interview-brown-horse-accessory | Theatrical baroque-pop epic about Midwestern geography and figures; Terry's #1.
Sufjan Stevens | Javelin | 2023 |  | 2 | https://www.noexpectations.fyi/p/sufjan-stevens-albums-ranked-javelin-illinois ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Career-culminating blend of electronic and organic textures, open-hearted and devastating; closes with a Neil Young cover.
Sufjan Stevens | Michigan | 2003 |  | 1 | https://www.noexpectations.fyi/p/sufjan-stevens-albums-ranked-javelin-illinois | Introverted, character-driven home-state meditation with post-rock grooves.
Sufjan Stevens | Seven Swans | 2004 |  | 1 | https://www.noexpectations.fyi/p/sufjan-stevens-albums-ranked-javelin-illinois | Sparse, overtly religious banjo record; opening electric guitars recall Palace Music.
Tapir! | The Pilgrim, Their God & The King of My Decrepit Mountain | 2024 |  | 1 | https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far | Earnest three-act art-folk full of biblical allusions and spoken narration with fist-raising catharsis.
Tapir! | The Pilgrim, Their God and the King of My Decrepit Mountain | 2024 |  | 2 | https://www.noexpectations.fyi/p/new-albums-lamplight-amen-dunes-tapir ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | UK avant-folk with biblical themes, earnest art-folk sensibility and fist-raising catharsis.
Trinity Ace | Learning to Be a Cowboy on the Horse That Broke My Arm | 2026 |  | 2 | https://www.noexpectations.fyi/p/twin-peaks-age-of-peace-cola-trinity-ace ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Six patient, often explosive songs over 41 minutes with a rich cooing-and-wailing voice and Elephant 6-style baroque exuberance.
